fixture_id,theme_id,expected,rank,semantic_score,lexical_score,combined_score,coverage,delta_from_best,ratio_to_best,segment_support_count,segment_count
medicine_surgery,it,0,6,0.475168,0.166667,0.398043,1.000000,0.292021,0.576820,1,1
medicine_surgery,politics,0,7,0.460008,0.166667,0.386673,1.000000,0.303391,0.560344,1,1
medicine_surgery,religion,0,8,0.476578,0.000000,0.357434,1.000000,0.332630,0.517972,1,1
medicine_surgery,law,0,9,0.474051,0.000000,0.355538,1.000000,0.334526,0.515225,1,1
medicine_surgery,economics,0,10,0.431462,0.000000,0.323597,1.000000,0.366467,0.468938,1,1
medicine_vaccination,medicine,1,1,0.673809,0.166667,0.547023,1.000000,0.000000,1.000000,1,1
medicine_vaccination,science,0,2,0.508086,0.000000,0.381065,1.000000,0.165958,0.696616,1,1
medicine_vaccination,everyday,0,3,0.446919,0.166667,0.376856,1.000000,0.170167,0.688922,1,1
medicine_vaccination,sports,0,4,0.489013,0.000000,0.366760,1.000000,0.180263,0.670465,1,1
medicine_vaccination,military,0,5,0.477787,0.000000,0.358340,1.000000,0.188683,0.655073,1,1
medicine_vaccination,it,0,6,0.465464,0.000000,0.349098,1.000000,0.197925,0.638178,1,1
medicine_vaccination,religion,0,7,0.454613,0.000000,0.340960,1.000000,0.206063,0.623301,1,1
medicine_vaccination,law,0,8,0.454025,0.000000,0.340519,1.000000,0.206504,0.622495,1,1
medicine_vaccination,politics,0,9,0.440154,0.000000,0.330116,1.000000,0.216907,0.603477,1,1
medicine_vaccination,economics,0,10,0.438536,0.000000,0.328902,1.000000,0.218121,0.601258,1,1
medicine_trial,medicine,1,1,0.676249,0.000000,0.507187,1.000000,0.000000,1.000000,1,1
medicine_trial,science,1,2,0.603304,0.000000,0.452478,1.000000,0.054709,0.892132,1,1
medicine_trial,economics,0,3,0.452353,0.166667,0.380931,1.000000,0.126256,0.751066,1,1
medicine_trial,it,0,4,0.498531,0.000000,0.373898,1.000000,0.133289,0.737199,1,1
medicine_trial,law,0,5,0.485176,0.000000,0.363882,1.000000,0.143305,0.717451,1,1
medicine_trial,military,0,6,0.474636,0.000000,0.355977,1.000000,0.151210,0.701865,1,1
medicine_trial,sports,0,7,0.457368,0.000000,0.343026,1.000000,0.164161,0.676330,1,1
medicine_trial,religion,0,8,0.451613,0.000000,0.338710,1.000000,0.168477,0.667821,1,1
medicine_trial,politics,0,9,0.451521,0.000000,0.338641,1.000000,0.168546,0.667685,1,1
medicine_trial,everyday,0,10,0.407536,0.000000,0.305652,0.000000,0.201535,0.602642,0,1
it_server,it,1,1,0.627815,0.333333,0.554195,1.000000,0.000000,1.000000,1,1
it_server,science,0,2,0.491004,0.333333,0.451586,1.000000,0.102609,0.814850,1,1
it_server,everyday,0,3,0.438343,0.166667,0.370424,1.000000,0.183771,0.668400,1,1
it_server,sports,0,4,0.460265,0.000000,0.345199,1.000000,0.208996,0.622884,1,1
it_server,religion,0,5,0.439910,0.000000,0.329933,1.000000,0.224262,0.595337,1,1
it_server,military,0,6,0.433939,0.000000,0.325454,1.000000,0.228741,0.587255,1,1
it_server,politics,0,7,0.375258,0.166667,0.323110,0.000000,0.231085,0.583026,0,1
it_server,economics,0,8,0.430286,0.000000,0.322715,1.000000,0.231480,0.582313,1,1
it_server,medicine,0,9,0.424258,0.000000,0.318194,1.000000,0.236001,0.574155,1,1
it_server,law,0,10,0.409652,0.000000,0.307239,0.000000,0.246956,0.554388,0,1
it_database,it,1,1,0.634105,0.500000,0.600579,1.000000,0.000000,1.000000,1,1
it_database,economics,0,2,0.510534,0.166667,0.424567,1.000000,0.176012,0.706929,1,1
it_database,science,0,3,0.558343,0.000000,0.418757,1.000000,0.181822,0.697255,1,1
it_database,military,0,4,0.534671,0.000000,0.401003,1.000000,0.199576,0.667694,1,1
it_database,medicine,0,5,0.508581,0.000000,0.381436,1.000000,0.219143,0.635114,1,1
it_database,sports,0,6,0.508192,0.000000,0.381144,1.000000,0.219435,0.634628,1,1
it_database,law,0,7,0.498487,0.000000,0.373865,1.000000,0.226714,0.622508,1,1
it_database,everyday,0,8,0.492195,0.000000,0.369146,1.000000,0.231433,0.614650,1,1
it_database,politics,0,9,0.485501,0.000000,0.364126,1.000000,0.236453,0.606292,1,1
it_database,religion,0,10,0.468329,0.000000,0.351247,1.000000,0.249332,0.584847,1,1
it_security,it,1,1,0.669598,0.666667,0.668865,1.000000,0.000000,1.000000,1,1
it_security,science,0,2,0.529021,0.500000,0.521766,1.000000,0.147099,0.780077,1,1
it_security,law,0,3,0.503457,0.166667,0.419260,1.000000,0.249605,0.626823,1,1
it_security,sports,0,4,0.470925,0.166667,0.394860,1.000000,0.274005,0.590343,1,1
it_security,economics,0,5,0.467024,0.166667,0.391935,1.000000,0.276930,0.585970,1,1
it_security,everyday,0,6,0.452820,0.166667,0.381282,1.000000,0.287583,0.570043,1,1
it_security,politics,0,7,0.448919,0.166667,0.378356,1.000000,0.290509,0.565669,1,1
it_security,military,0,8,0.492120,0.000000,0.369090,1.000000,0.299775,0.551815,1,1
